candidate,n_stubs,depth_scale,width_scale,seed_offset,fabrication_valid,f3db_thz,pass_avg_s21_db,pass_min_s21_db,pass_ripple_db,pass_avg_s11_db,edge_avg_s21_db,stop_avg_s21_db,stop_max_s21_db,monotonic_violation_db,score
SWEEP_0001,5,0.88,0.75,0,True,0.8057674192523773,-0.19014017348106207,-0.4698597998851923,0.38164675346597243,-23.77490930656724,-11.357708074067576,-5.697638932961785,-0.6920877205692086,2.9433882044111024,-3.3476655278001104
SWEEP_0002,5,0.88,0.75,1,True,0.79313841941887,-0.1790657327959555,-0.3710867861158419,0.28085977977030796,-23.29809403475417,-12.428867531252573,-4.944469441383594,-1.4138544766225478,3.3152881196500776,-3.5281318385103173
SWEEP_0003,5,0.88,1.0,0,True,0.8057674192523773,-0.19014017348106207,-0.4698597998851923,0.38164675346597243,-23.77490930656724,-11.357708074067576,-5.697638932961785,-0.6920877205692086,2.9433882044111024,-3.3476655278001104
SWEEP_0004,5,0.88,1.0,1,True,0.7655726576302573,-0.2280176988496457,-0.7540658216524916,0.6563273081185237,-20.92113518463942,-15.160403629980534,-5.797876250177062,-1.1726293758521542,6.301082620150335,-6.283806768269212
SWEEP_0005,5,0.88,1.25,0,True,0.7806219771547848,-0.21865952751188011,-0.4962829650148761,0.4007446836875176,-20.4685845634629,-14.094608586489832,-6.847295545931506,-0.7156765633512929,5.517803507552568,-5.248809221640566
SWEEP_0006,5,0.88,1.25,1,True,0.737749495148155,-0.3177577059600322,-1.4341134386775747,1.3273393575884955,-18.592115644432635,-17.198087124777786,-6.739738734147018,-1.4152282778269356,8.488474026718553,-9.963295851726041
SWEEP_0007,5,0.96,0.75,0,True,0.7749915252255876,-0.21034311333875794,-0.575765621831761,0.4837144599475867,-22.567649984153494,-13.589383542629603,-4.921121969610237,-0.612460610244647,7.410199382511617,-6.218631198042356
SWEEP_0008,5,0.96,0.75,1,True,0.759546529472046,-0.19943657167253878,-0.5302735716924099,0.43581046244093147,-22.336575357758058,-15.173100775695843,-3.8891633099340037,-0.682381146541352,9.134362810607302,-7.705268479980364
SWEEP_0009,5,0.96,1.0,0,True,0.7749915252255876,-0.21034311333875794,-0.575765621831761,0.4837144599475867,-22.567649984153494,-13.589383542629603,-4.921121969610237,-0.612460610244647,7.410199382511617,-6.218631198042356
SWEEP_0010,5,0.96,1.0,1,True,0.7298429730778826,-0.2865681098421353,-1.2981390856755977,1.1948775483645906,-19.748548350142038,-18.8560383879108,-4.593471396061561,-0.6407480350079806,12.738864918189158,-11.835119336916964
SWEEP_0011,5,0.96,1.25,0,True,0.7508769396478905,-0.2508100877554655,-0.612316217150905,0.5117598869579473,-19.359162042706153,-17.458699585426757,-5.572344412237509,-0.8933843089238007,10.797169567816729,-8.995110524368105
SWEEP_0012,5,0.96,1.25,1,True,0.6961882654138299,-0.43996631539603187,-2.529552603187195,2.415705517440097,-17.41516190339169,-21.750364551518743,-5.348477652924065,-0.569409526113133,15.53378150851604,-18.249865679574953
SWEEP_0013,5,1.04,0.75,0,True,0.7380324768201943,-0.24983575102692648,-0.7860526505319612,0.6892350204657506,-21.118103730595724,-15.024149147087693,-4.675975305643218,-0.816673403257512,16.12161039519169,-11.515867451084436
SWEEP_0014,5,1.04,0.75,1,True,0.7202707996891037,-0.25350090474983555,-1.0987718686157724,0.9990672189474001,-20.959802338484767,-15.97267305463106,-3.9026943837570203,-0.3875321370298723,18.96623544720677,-13.972908003585237
SWEEP_0015,5,1.04,1.0,0,True,0.7380324768201943,-0.24983575102692648,-0.7860526505319612,0.6892350204657506,-21.118103730595724,-15.024149147087693,-4.675975305643218,-0.816673403257512,16.12161039519169,-11.515867451084436
SWEEP_0016,5,1.04,1.0,1,True,0.685676318957617,-0.43367918826997887,-2.869074914671455,2.7623874978449896,-18.300563416040763,-19.274634090002763,-4.235761272588951,-0.37469258012403833,22.760948037527026,-22.35494863132952
SWEEP_0017,5,1.04,1.25,0,True,0.7161385005826156,-0.3166993002428308,-1.019071295586557,0.9148275655023584,-18.017130908894796,-18.679856670175937,-5.206666273695218,-1.02787848185383,19.90959999959207,-14.550099561757655
SWEEP_0018,5,1.04,1.25,1,True,0.6441699650713816,-0.7118085851039401,-5.106370529455749,4.989825195954629,-16.031093283350383,-21.681815176322797,-4.598100254428106,-0.361135007806049,25.34307439459382,-31.895849249779545
SWEEP_0019,5,1.12,0.75,0,True,0.7044468536395482,-0.32150976083450983,-1.4030508630242258,1.3023560955828988,-19.79480005484645,-12.772143687969667,-4.544454426459868,-0.7923680572622404,20.210765991752556,-15.800553561575041
SWEEP_0020,5,1.12,0.75,1,True,0.6840022069867367,-0.38720851888641594,-2.9699734014948005,2.8660176851977233,-19.716528284367868,-12.484540523356456,-4.133914440634249,-0.33250646539650575,22.11121305105986,-21.838242474850823
SWEEP_0021,5,1.12,1.0,0,True,0.7044468536395482,-0.32150976083450983,-1.4030508630242258,1.3023560955828988,-19.79480005484645,-12.772143687969667,-4.544454426459868,-0.7923680572622404,20.210765991752556,-15.800553561575041
SWEEP_0022,5,1.12,1.0,1,True,0.643056542356501,-0.7321297474087489,-6.3875359189066225,6.27993529328795,-17.030862363309538,-14.573378563966267,-4.299253988585745,-0.33181954699071176,27.358732050964473,-35.68742120524026
SWEEP_0023,5,1.12,1.25,0,True,0.6846859024568928,-0.45592150905416473,-2.847752446130568,2.7429800807279654,-16.752159688727577,-16.232598255110588,-4.771497482698871,-1.0364721069799026,25.199347414968575,-23.030191592649174
SWEEP_0024,5,1.12,1.25,1,True,0.607424823495953,-1.1699181540416825,-9.538077376470662,9.41910852933248,-14.876124296365617,-16.558360857278544,-4.51850285918918,-0.3335780201633204,31.46336399260133,-48.24079157685283
SWEEP_0025,7,0.88,0.75,0,True,0.9066222237375273,-0.19062645020273514,-0.39711143336104804,0.2968344634432171,-22.466178243500895,-7.571800729469502,-9.482877939976696,-0.7737797298892124,0.0,-6.431086175906124
SWEEP_0026,7,0.88,0.75,1,True,0.933134501265474,-0.3125801777610193,-1.4272579795053,1.3153210555595534,-18.018193970908026,-3.3500984123840305,-7.272670430349656,-0.6580663288192203,0.04331578251475465,-9.097553413064869
SWEEP_0027,7,0.88,1.0,0,True,0.9090884601271588,-0.19470262134657526,-0.3918490265921204,0.28716291160373886,-22.342440201821063,-8.390683191635842,-11.401915506777897,-1.1494711884086526,0.1513396914885945,-6.594888627059276
SWEEP_0028,7,0.88,1.0,1,True,0.9008804543876464,-0.20832851055164983,-0.6853474727628533,0.5871194650948895,-22.416978581405647,-6.939975904493256,-6.378431696981043,-0.35678966961068626,0.009643902966353757,-6.253156014104821
SWEEP_0029,7,0.88,1.25,0,True,0.8587845614419855,-0.2095237939566813,-0.3654943018254704,0.2599341543588949,-19.70516752215099,-7.279135152910103,-14.533264159079598,-1.0906172222877775,0.28322025279444163,-4.382004990267609
SWEEP_0030,7,0.88,1.25,1,True,0.9254599278265032,-0.24807448944020505,-0.9717097983704402,0.8681168018360486,-20.748286941249,-5.73531151972136,-10.213833198781538,-0.8517473073603681,0.0,-7.437338971672964
SWEEP_0031,7,0.96,0.75,0,True,0.845317547348411,-0.20443472540726929,-0.4468422305602041,0.34607628597495893,-21.788280910204367,-16.3211427006509,-6.613554112178556,-0.33357327087105704,1.4317377525867325,-4.984299443371636
SWEEP_0032,7,0.96,0.75,1,True,0.8608833479303478,-0.3711094531720718,-1.8228507768824715,1.7082587565415004,-17.143085895392822,-5.208459639997916,-8.683337731511433,-2.9322282210011346,0.0,-6.708734123277129
SWEEP_0033,7,0.96,1.0,0,True,0.8496161812270605,-0.20894904782922472,-0.43039694846784243,0.3252592118768176,-21.4866815261805,-18.688493978152096,-8.02570123923403,-0.35210941126259104,1.685165365122613,-5.47304426191126
SWEEP_0034,7,0.96,1.0,1,True,0.8308197072468733,-0.23165435265983905,-0.8339569937853719,0.7330420592733788,-21.38100710298041,-13.397957724223454,-4.60806894579443,-0.3398185379239385,1.232319898571177,-4.058354707914528
SWEEP_0035,7,0.96,1.25,0,True,0.7951669617865158,-0.22538118448303796,-0.38661512331621783,0.2803959815548061,-18.873343882496055,-16.250735129895524,-11.835947553004793,-1.3773878896894396,3.0540721740398795,-3.711959629576209
SWEEP_0036,7,0.96,1.25,1,True,0.8672331721296218,-0.3027530272073376,-1.3542516990590165,1.2481685025886633,-19.761986353475066,-13.049548484086863,-7.883022249423806,-0.41920984416385504,1.1084437085962868,-6.785838219204708
SWEEP_0037,7,1.04,0.75,0,True,0.7679392964290477,-0.22632493172783558,-0.5250583343398347,0.42388505959897643,-20.658693071368795,-23.540005341437674,-4.376898497600955,-0.37698871686041885,8.788585555022985,-7.935615061585568
SWEEP_0038,7,1.04,0.75,1,True,0.8079658363408881,-0.47576387604296333,-2.5076102826633835,2.3906090458296227,-16.074564387470055,-7.0716420328229965,-9.1650581138007,-1.3109364120999523,2.1600436658526574,-7.3889598252841
SWEEP_0039,7,1.04,1.0,0,True,0.762296392943145,-0.22833020927392556,-0.49388945578832005,0.38825477204990433,-20.61632048197145,-27.68546524915904,-5.287978600173157,-0.37881122694501146,10.348499870037212,-9.147937452183573
